AuthorID,Author,Date,Content,Attachments,Reactions
"970274309253763082","philly2010","2024-04-08T04:57:22.2440000+00:00","1st🤫","","🗿 (4)"
"1042376664686006272","aquahexhk","2024-04-08T08:08:14.6350000+00:00","🗿(second)","",""
"1042376664686006272","aquahexhk","2024-04-08T08:08:36.3570000+00:00","ok(third)","",""
"1168492697401700406","iron_56538","2024-04-08T10:52:03.5490000+00:00","50xwild ripoff (real)","",""
"806746993628020811","horyzonal","2024-04-08T14:21:55.5940000+00:00","5th","",""
"1124177584876421252","_796573_","2024-04-08T20:18:16.1760000+00:00","6th","",""
"940762994277765160","mozzarella_ceas","2024-04-08T20:47:09.7510000+00:00","7th","",""
"940762994277765160","mozzarella_ceas","2024-04-08T20:48:01.1700000+00:00","i thought there already was a random","",""
"1042376664686006272","aquahexhk","2024-04-09T08:35:25.3370000+00:00","9th","",""
"1042376664686006272","aquahexhk","2024-04-09T08:35:27.5540000+00:00","10th","",""
"940762994277765160","mozzarella_ceas","2024-04-09T23:17:00.2650000+00:00","i guess this isnt 50xwild","",""
"940762994277765160","mozzarella_ceas","2024-04-09T23:17:07.8720000+00:00","CAUSE WE CANT SEND IMAGES","",""
"757997811055984760","kundaliel","2024-04-10T03:31:48.2470000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1227461002510205058/unknown.png?ex=69c00b64&is=69beb9e4&hm=75e743f5e9cb3b79587914993ede4e1a492977f0a993e412ba39dd0bfa494b9a&",""
"760323762716409867","pbc6145","2024-04-10T04:17:29.3750000+00:00","Smash","",""
"1133358003249225818","edringkids","2024-04-10T10:30:11.6290000+00:00","pass","",""
"757997811055984760","kundaliel","2024-04-10T11:32:40.1890000+00:00","Banned","",""
"757997811055984760","kundaliel","2024-04-10T11:32:51.0580000+00:00","Not banned","",""
"1133358003249225818","edringkids","2024-04-10T11:34:48.4820000+00:00","REAL","",""
"806746993628020811","horyzonal","2024-04-11T10:11:54.0780000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1227924078208352276/image.png?ex=69bfc069&is=69be6ee9&hm=b7eeede1fe72a0e5709abf7b9cb7be7b21fcefbc47d0f597db6d8cc9f718c5e2&",""
"806746993628020811","horyzonal","2024-04-11T10:12:05.8250000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1227924127516463144/image.png?ex=69bfc075&is=69be6ef5&hm=dbde552ec12acdb879c66555a7c72db6638cde197ff2f0dfcb064c733057a1db&",""
"806746993628020811","horyzonal","2024-04-11T10:12:14.5470000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1227924163965222963/image.png?ex=69bfc07e&is=69be6efe&hm=00104b7a7a65920ba3e445d487344f9e47fc988ae9e084455c446d62774e5b24&",""
"760323762716409867","pbc6145","2024-04-11T16:55:45.5850000+00:00","Bro is gobbling u up","",""
"716806465821736970","pug.z","2024-04-12T16:27:41.7290000+00:00","random","",""
"757997811055984760","kundaliel","2024-04-12T19:34:02.6780000+00:00","random","",""
"700309386110828655","__crit__","2024-04-12T19:34:31.6360000+00:00","random","",""
"760323762716409867","pbc6145","2024-04-12T20:52:32.3200000+00:00","Coke or Pepsi","",""
"541779358130634797","solofighter89","2024-04-12T22:25:25.4650000+00:00","Dr Pepper","",""
"1133358003249225818","edringkids","2024-04-12T22:40:19.1310000+00:00","Coca cola","",""
"333697653848408085","stormgaze9348","2024-04-13T20:47:35.5080000+00:00","Dr Pepper","",""
"1128028955597873262","ckream_","2024-04-14T08:01:45.7850000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1228978491190546502/Dr._Perky.mp4?ex=69bfa1e9&is=69be5069&hm=87c82893a09b9cde52e4c7503efbcf7758818e357a3bacd16c76e32080fcf97a&",""
"1128028955597873262","ckream_","2024-04-14T08:01:52.1180000+00:00","dr perky","",""
"602608719829663775","steamuser9483","2024-04-14T09:54:03.8580000+00:00","smash","",""
"1133358003249225818","edringkids","2024-04-14T19:06:06.3160000+00:00","REAL","",""
"1168492697401700406","iron_56538","2024-04-15T04:23:30.6560000+00:00","ghost ping","",""
"1168492697401700406","iron_56538","2024-04-15T04:23:31.9330000+00:00","😠","",""
"602608719829663775","steamuser9483","2024-04-15T14:13:52.6700000+00:00","this channel is budget 50x","",""
"602608719829663775","steamuser9483","2024-04-15T14:13:56.5280000+00:00","wild","",""
"757997811055984760","kundaliel","2024-04-16T01:17:59.4940000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1229601654924644465/unknown.png?ex=69bfec07&is=69be9a87&hm=3e36dc084ab6f4cec9d48c183f3342b806ebec0137318f8c65ac0b57f4050fcd&",""
"1128028955597873262","ckream_","2024-04-21T19:38:51.3910000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1231690636101419078/image.png?ex=69bf9c8b&is=69be4b0b&hm=289d697754c0271069ef2fad1c3a836e71b7493732ce67f8552456972157995d&",""
"1128028955597873262","ckream_","2024-04-21T19:38:52.3320000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1231690640048390265/image.png?ex=69bf9c8c&is=69be4b0c&hm=e4ce6b83688f4cd04a77eafa42492a414cffa97ebb4b23921e59d20219bcb8b8&","💀 (3)"
"1128028955597873262","ckream_","2024-04-21T19:38:52.3910000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1231690640262434887/image.png?ex=69bf9c8c&is=69be4b0c&hm=c3ee17a117a37a57cf9f0d5ccf2516e999a0755d034700f08fef34eb682f3b8f&","😋 (1)"
"1128028955597873262","ckream_","2024-04-21T19:38:52.8470000+00:00","","https://cdn.discordapp.com/attachments/1226749826901872671/1231690642149740725/image.png?ex=69bf9c8c&is=69be4b0c&hm=131d1d79a82b29821b117b126fddfe1a952f60ededebf255a75a0fd827266c5f&",""
"826848506115129414","ozyimantis","2024-04-26T16:29:49.7380000+00:00","this channel should be named from #🤪・crazy to random sus stuff","",""
"456226577798135808","Deleted User","2024-04-27T00:17:58.5370000+00:00","https://tenor.com/view/cat-huh-cat-huh-etr-gif-15332443943609734737","",""
"456226577798135808","Deleted User","2024-04-27T00:18:04.3280000+00:00","Bruh","",""
"1128028955597873262","ckream_","2024-04-27T08:16:19.6000000+00:00","https://tenor.com/view/cat-fall-epic-embed-fail-fail-funny-gif-21341768","",""
